Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,226.699997,235.619995,226.369995,235.559998,235.559998,1809100
1997-08-01,235.479996,235.809998,227.770004,231.770004,231.770004,1866600
1997-09-01,231.850006,243.380005,231.789993,238.369995,238.369995,1649100
1997-10-01,238.289993,248.210007,232.479996,242.589996,242.589996,1894100
1997-11-01,242.619995,259.660004,239.880005,258.640015,258.640015,1604100
1997-12-01,258.809998,273.440002,256.750000,273.070007,273.070007,1719800
1998-01-01,273.119995,273.410004,260.510010,263.290009,263.290009,2086500
1998-02-01,263.410004,271.690002,261.890015,271.690002,271.690002,1574300
1998-03-01,271.630005,288.369995,270.429993,285.940002,285.940002,1974000
1998-04-01,285.730011,291.899994,275.500000,284.470001,284.470001,1983500
1998-05-01,284.470001,285.760010,275.989990,284.649994,284.649994,1769600
1998-06-01,284.730011,295.010010,282.279999,293.869995,293.869995,2514000
1998-07-01,293.869995,295.670013,276.609985,278.649994,278.649994,1664200
1998-08-01,278.679993,287.760010,269.839996,278.200012,278.200012,2152700
1998-09-01,278.079987,306.750000,269.089996,306.720001,306.720001,2657700
1998-10-01,306.600006,322.209991,296.209991,301.450012,301.450012,3177800
1998-11-01,301.480011,312.779999,301.480011,303.519989,303.519989,1840100
1998-12-01,303.519989,315.709991,302.170013,312.299988,312.299988,1894900
1999-01-01,312.299988,314.929993,298.390015,302.799988,302.799988,2178400
1999-02-01,302.709991,302.709991,286.109985,293.869995,293.869995,2115900
1999-03-01,293.869995,306.420013,288.989990,292.279999,292.279999,2593200
1999-04-01,292.399994,312.720001,290.540009,311.549988,311.549988,2445800
1999-05-01,311.519989,331.559998,311.160004,329.200012,329.200012,2013800
1999-06-01,329.079987,336.029999,316.579987,316.820007,316.820007,2088400
1999-07-01,316.730011,322.839996,312.720001,314.660004,314.660004,2074900
1999-08-01,314.630005,325.390015,309.429993,315.859985,315.859985,1753900
1999-09-01,315.630005,319.970001,287.600006,298.260010,298.260010,1899200
1999-10-01,298.119995,308.119995,292.000000,306.609985,306.609985,2236600
1999-11-01,306.640015,308.890015,274.600006,281.529999,281.529999,2311100
1999-12-01,281.470001,285.260010,268.589996,283.359985,283.359985,2515900
2000-01-01,283.160004,317.269989,274.660004,315.140015,315.140015,3146800
2000-02-01,315.140015,317.820007,278.820007,288.480011,288.480011,2863300
2000-03-01,288.329987,296.000000,272.369995,291.769989,291.769989,3867900
2000-04-01,291.660004,330.809998,286.640015,317.750000,317.750000,2764700
2000-05-01,317.549988,334.140015,313.459991,328.529999,328.529999,2721800
2000-06-01,328.429993,333.200012,305.839996,306.910004,306.910004,2933000
2000-07-01,306.910004,333.329987,306.880005,325.470001,325.470001,2136800
2000-08-01,325.470001,365.660004,325.470001,363.739990,363.739990,2747200
2000-09-01,363.880005,402.279999,363.880005,398.220001,398.220001,3841200
2000-10-01,398.279999,403.720001,369.309998,393.429993,393.429993,3712400
2000-11-01,393.529999,404.079987,383.100006,388.880005,388.880005,3258800
2000-12-01,388.920013,418.250000,379.640015,412.160004,412.160004,4567900
2001-01-01,412.089996,412.480011,330.950012,372.320007,372.320007,7317100
2001-02-01,372.119995,398.579987,366.459991,386.220001,386.220001,3840400
2001-03-01,385.880005,394.880005,341.320007,381.420013,381.420013,5516800
2001-04-01,381.420013,400.690002,359.579987,396.170013,396.170013,4983100
2001-05-01,396.399994,399.920013,377.929993,393.220001,393.220001,4646600
2001-06-01,393.119995,393.179993,348.920013,359.339996,359.339996,4999200
2001-07-01,359.339996,374.260010,325.049988,349.739990,349.739990,4598500
2001-08-01,349.739990,359.339996,335.309998,340.619995,340.619995,3991700
2001-09-01,340.119995,345.510010,286.950012,301.670013,301.670013,5010600
2001-10-01,301.670013,322.750000,290.559998,294.649994,294.649994,7935200
2001-11-01,294.410004,301.040009,276.109985,281.029999,281.029999,14298200
2001-12-01,281.029999,297.630005,270.260010,293.940002,293.940002,4420100
2002-01-01,293.940002,297.839996,275.179993,285.709991,285.709991,4275400
2002-02-01,285.709991,288.410004,270.890015,279.640015,279.640015,5190100
2002-03-01,279.640015,308.589996,279.519989,305.730011,305.730011,5267100
